15,31,233,252,418,474,108, ,516,464,89, ,,938
12,32,154,161,431,548,119, ,474,599,109, ,,1140
12,26,156,164,485,416,90, ,513,387,82, ,,787
10,27,38,72,415,494,109, ,465,470,101, ,,964
11,26,150,163,402,371,88, ,469,529,102, ,,886
7,23,30,65,373,394,105, ,460,390,77, ,,784
9,28,46,71,413,484,113, ,458,623,120, ,,1067
9,27,48,72,399,506,118, ,473,508,102, ,,1002
11,28,74,82,430,448,105, ,474,570,115, ,,1018
31,47,502,515,391,426,105, ,481,501,95, ,,906
10,27,101,114,409,474,110, ,474,467,90, ,,923
7,22,57,77,379,373,89, ,476,341,71, ,,688
11,28,94,102,442,477,112, ,454,557,114, ,,1026
8,23,30,63,418,467,110, ,444,354,76, ,,821
14,29,197,216,440,476,99, ,467,477,96, ,,952
9,26,49,63,425,464,104, ,480,446,91, ,,885
8,24,42,69,404,485,111, ,468,442,90, ,,913
7,22,72,91,411,384,85, ,504,500,89, ,,877
10,25,116,129,408,343,81, ,460,390,80, ,,731
10,27,35,75,409,523,119, ,492,513,106, ,,992
8,24,41,70,343,317,71, ,463,434,90, ,,742
9,26,38,69,410,445,109, ,443,547,109, ,,985
7,22,26,57,430,414,93, ,525,450,82, ,,850
8,24,35,75,383,431,98, ,453,453,92, ,,877
9,25,79,87,421,437,91, ,513,523,91, ,,935
9,23,66,79,400,399,100, ,468,394,84, ,,793
21,37,305,324,430,409,82, ,542,614,99, ,,1023
10,26,120,128,464,470,97, ,486,505,102, ,,962
16,34,214,227,392,588,133, ,473,610,112, ,,1194
23,40,436,455,404,408,88, ,513,606,111, ,,1014
11,26,175,188,432,393,86, ,501,464,94, ,,850
11,29,153,166,400,483,113, ,458,568,119, ,,1030
13,29,192,205,429,424,96, ,473,487,97, ,,898
10,27,47,98,405,434,104, ,480,484,95, ,,897
12,28,150,169,454,399,87, ,524,481,84, ,,867
8,24,74,93,443,485,98, ,500,498,96, ,,948
7,22,34,67,388,326,84, ,493,436,88, ,,762
11,26,152,160,409,363,85, ,492,482,92, ,,838
8,24,60,73,416,418,80, ,482,360,61, ,,778
7,22,45,63,386,388,94, ,438,368,81, ,,747
7,22,27,53,420,394,89, ,492,396,82, ,,790
8,23,37,67,374,349,83, ,455,391,76, ,,714
9,24,42,66,413,440,97, ,511,443,81, ,,871
8,23,26,54,409,374,73, ,495,415,82, ,,775
23,41,521,534,383,556,128, ,444,567,116, ,,1109
7,22,30,57,426,419,86, ,452,299,64, ,,691
10,24,110,118,438,397,95, ,482,402,81, ,,795
10,27,40,71,435,591,129, ,522,453,85, ,,1037
7,23,31,58,410,389,84, ,516,494,83, ,,883
9,26,45,78,378,413,108, ,474,507,97, ,,920
13,28,173,192,433,422,90, ,488,561,113, ,,945
17,32,371,384,382,390,87, ,461,361,80, ,,751
10,26,65,78,429,531,112, ,474,466,100, ,,984
8,24,35,68,406,531,114, ,445,412,85, ,,914
9,27,50,77,412,430,101, ,452,493,102, ,,914
16,32,381,400,390,412,99, ,479,454,94, ,,859
7,21,25,55,394,326,75, ,461,367,74, ,,691
9,26,42,67,393,491,114, ,493,464,98, ,,943
23,40,450,463,399,400,97, ,450,642,127, ,,1014
10,28,80,93,413,446,101, ,445,401,85, ,,836
11,29,206,219,408,468,107, ,484,552,110, ,,1012
9,25,37,64,404,419,109, ,454,451,97, ,,859
33,48,459,472,378,374,87, ,498,483,94, ,,853
9,26,39,62,432,528,110, ,486,513,92, ,,1027
11,29,45,71,348,480,106, ,452,488,102, ,,952
8,23,56,74,439,529,114, ,525,464,88, ,,979
10,27,38,70,415,443,100, ,459,608,121, ,,1051
8,23,71,90,414,398,95, ,490,400,79, ,,791
10,26,49,67,471,462,96, ,522,515,99, ,,977
11,27,229,237,392,454,111, ,482,421,84, ,,868
8,24,33,69,402,411,95, ,464,493,95, ,,888
12,26,175,194,442,500,95, ,483,417,86, ,,917
7,21,44,71,375,320,72, ,468,305,71, ,,616
8,23,35,57,390,380,89, ,471,388,86, ,,759
9,24,34,57,454,423,92, ,512,409,80, ,,808
9,24,41,75,394,406,94, ,483,425,82, ,,831
29,46,509,522,414,489,105, ,506,700,132, ,,1163
9,25,50,60,442,448,95, ,472,468,93, ,,903
10,27,139,152,398,464,106, ,451,459,97, ,,919
8,23,142,155,407,418,93, ,500,422,80, ,,821
9,26,36,77,436,481,109, ,459,428,91, ,,908
9,27,46,72,446,534,104, ,475,497,95, ,,1026
9,24,131,156,401,364,74, ,548,466,79, ,,812
9,25,69,88,416,456,104, ,512,470,88, ,,911
7,21,50,60,384,338,79, ,480,384,84, ,,715
10,27,106,131,429,531,109, ,493,510,101, ,,1020
7,23,34,62,433,453,103, ,422,340,88, ,,790
12,31,221,234,463,526,105, ,452,564,113, ,,1038
8,23,68,76,431,365,85, ,500,478,92, ,,818
11,29,151,164,399,517,114, ,500,513,96, ,,994
9,25,72,80,392,446,100, ,507,373,78, ,,819
8,25,40,72,387,415,99, ,484,430,87, ,,845
11,29,81,88,455,604,124, ,459,453,104, ,,1033
8,24,35,61,418,409,92, ,476,467,92, ,,876
17,32,330,343,381,469,114, ,449,464,99, ,,895
9,24,75,100,434,353,80, ,468,415,89, ,,768
9,27,64,73,414,521,109, ,436,435,97, ,,947
8,23,79,93,400,331,83, ,429,301,67, ,,630
7,23,55,71,426,391,91, ,448,403,82, ,,789
8,25,30,66,408,445,109, ,445,454,94, ,,881
